client_version_id,client_id,gender,age_bucket,marital_status,education_level,county,onboarding_channel,onboarding_method,customer_segment,registration_date,valid_from_date,valid_to_date
CV00001-01,CL00001,F,50-64,Married,High School,Prahova,Digital,Self-service,Premium,2019-02-06,2024-01-01,9999-12-31
CV00002-01,CL00002,M,35-49,Single,Master,Cluj,Digital,Self-service,Standard,2018-11-23,2024-01-01,2024-06-30
CV00002-02,CL00002,M,35-49,Single,Master,Cluj,Digital,Self-service,Premium,2018-11-23,2024-07-01,9999-12-31
CV00003-01,CL00003,M,50-64,Single,High School,Timis,Digital,Self-service,Premium,2022-01-26,2024-01-01,9999-12-31
CV00004-01,CL00004,F,35-49,Married,Master,Sibiu,Branch,Assisted,Standard,2019-10-31,2024-01-01,9999-12-31
CV00005-01,CL00005,M,35-49,Married,Master,Brasov,Digital,Self-service,Premium,2018-09-26,2024-01-01,9999-12-31
CV00006-01,CL00006,M,65+,Married,Master,Prahova,Digital,Self-service,Standard,2023-10-04,2024-01-01,9999-12-31
CV00007-01,CL00007,F,65+,Married,High School,Timis,Branch,Assisted,Standard,2020-08-01,2024-01-01,9999-12-31
CV00008-01,CL00008,F,35-49,Married,High School,Prahova,Branch,Assisted,Standard,2019-02-23,2024-01-01,9999-12-31
CV00009-01,CL00009,F,25-34,Single,Bachelor,Iasi,Digital,Self-service,Standard,2019-04-05,2024-01-01,9999-12-31
CV00010-01,CL00010,F,18-24,Single,Post-secondary,Constanta,Digital,Self-service,Standard,2023-01-19,2024-01-01,2024-06-30
CV00010-02,CL00010,F,18-24,Single,Post-secondary,Constanta,Digital,Self-service,Standard,2023-01-19,2024-07-01,9999-12-31
CV00011-01,CL00011,M,50-64,Divorced,High School,Iasi,Branch,Assisted,Standard,2019-12-13,2024-01-01,9999-12-31
CV00012-01,CL00012,F,50-64,Married,Doctorate,Cluj,Branch,Assisted,Standard,2020-02-23,2024-01-01,9999-12-31
CV00013-01,CL00013,F,35-49,Married,Bachelor,Galati,Digital,Self-service,Standard,2023-11-28,2024-01-01,9999-12-31
CV00014-01,CL00014,F,18-24,Divorced,High School,Bucuresti,Digital,Self-service,Standard,2021-07-05,2024-01-01,9999-12-31
CV00015-01,CL00015,F,18-24,Single,Post-secondary,Timis,Digital,Self-service,Standard,2022-04-14,2024-01-01,9999-12-31
CV00016-01,CL00016,F,18-24,Married,High School,Bucuresti,Digital,Self-service,Standard,2020-03-10,2024-01-01,9999-12-31
CV00017-01,CL00017,F,35-49,Married,Post-secondary,Prahova,Digital,Self-service,Standard,2019-07-30,2024-01-01,9999-12-31
CV00018-01,CL00018,F,25-34,Married,Bachelor,Constanta,Digital,Self-service,Standard,2023-05-23,2024-01-01,9999-12-31
CV00019-01,CL00019,M,25-34,Married,High School,Prahova,Digital,Self-service,Standard,2018-04-19,2024-01-01,9999-12-31
CV00020-01,CL00020,M,35-49,Single,Master,Bucuresti,Digital,Self-service,Standard,2018-05-12,2024-01-01,9999-12-31
