client_id,client_version_id,reference_date,transaction_count,transaction_volume,digital_transaction_count,digital_transaction_volume,mobile_app_login_count,credit_card_count,secured_loan_count,unsecured_loan_count,product_count,new_customer_flag,digitally_active_flag,credit_card_flag,loan_flag,digital_loan_flag,monthly_income,monthly_profitability,deposit_flag,insurance_flag
CL00001,CV00001-01,2024-01-31,10,8208.35,6,4778.46,9,1,1,0,3,N,Y,Y,Y,N,6066.06,26.47,N,Y
CL00001,CV00001-01,2024-02-29,12,7465.03,8,5180.65,5,0,0,1,2,N,Y,N,Y,N,6532.91,20.68,Y,N
CL00001,CV00001-01,2024-03-31,6,4955.93,3,2331.08,5,0,0,1,2,N,Y,N,Y,N,6118.69,16.48,Y,N
CL00001,CV00001-01,2024-04-30,11,7700.21,7,4570.17,10,0,0,0,0,N,Y,N,N,N,6213.10,17.62,N,N
CL00001,CV00001-01,2024-05-31,5,3629.81,3,2682.65,11,0,0,0,0,N,Y,N,N,N,5182.85,10.13,N,N
CL00001,CV00001-01,2024-06-30,4,2845.30,2,1889.62,4,0,0,0,0,N,Y,N,N,N,6300.98,7.18,N,N
CL00001,CV00001-01,2024-07-31,9,4454.29,5,2706.09,10,0,0,0,1,N,Y,N,N,N,6323.80,15.98,Y,N
CL00001,CV00001-01,2024-08-31,10,5721.84,6,3273.13,6,1,0,0,2,N,Y,Y,N,N,7465.08,19.45,N,Y
CL00001,CV00001-01,2024-09-30,4,2116.58,3,1402.92,8,0,0,0,0,N,Y,N,N,N,6405.99,2.70,N,N
CL00001,CV00001-01,2024-10-31,11,8294.77,7,4618.32,2,1,0,0,2,N,Y,Y,N,N,6859.50,19.18,Y,N
CL00001,CV00001-01,2024-11-30,7,5272.51,4,2842.13,4,0,0,1,2,N,Y,N,Y,N,4796.88,17.34,Y,N
CL00001,CV00001-01,2024-12-31,11,6453.17,8,4744.95,8,1,0,0,2,N,Y,Y,N,N,6000.61,22.98,Y,N
CL00002,CV00002-01,2024-01-31,7,3184.48,3,1516.56,5,0,0,1,2,N,Y,N,Y,Y,4530.00,10.79,Y,N
CL00002,CV00002-01,2024-02-29,5,3162.05,2,969.24,3,0,0,1,2,N,Y,N,Y,Y,4060.28,17.11,Y,N
CL00002,CV00002-01,2024-03-31,8,4244.69,3,1790.10,4,1,0,1,3,N,Y,Y,Y,N,3725.69,14.17,Y,N
CL00002,CV00002-01,2024-04-30,5,2161.39,2,812.46,7,0,0,0,1,N,Y,N,N,N,2835.07,6.15,N,Y
CL00002,CV00002-01,2024-05-31,1,388.32,0,158.82,4,1,0,1,2,N,N,Y,Y,N,4539.83,3.11,N,N
CL00002,CV00002-01,2024-06-30,6,3205.24,2,1088.43,4,0,0,0,0,N,Y,N,N,N,5930.58,-0.38,N,N
CL00002,CV00002-02,2024-07-31,6,3426.54,3,1533.21,7,1,0,1,3,N,Y,Y,Y,N,7088.87,16.65,Y,N
CL00002,CV00002-02,2024-08-31,6,3151.96,2,956.32,5,1,0,0,2,N,Y,Y,N,N,6360.09,12.92,Y,N
CL00002,CV00002-02,2024-09-30,6,2866.29,2,914.99,3,1,0,0,2,N,Y,Y,N,N,6537.89,11.53,N,Y
CL00002,CV00002-02,2024-10-31,9,2910.17,4,1237.38,8,1,0,0,1,N,Y,Y,N,N,5851.15,14.19,N,N
CL00002,CV00002-02,2024-11-30,5,1522.61,2,683.41,4,0,0,0,1,N,Y,N,N,N,5355.83,5.66,Y,N
CL00002,CV00002-02,2024-12-31,10,5635.14,4,2318.29,2,1,1,0,3,N,Y,Y,Y,N,7559.97,20.99,Y,N
CL00003,CV00003-01,2024-01-31,6,2950.00,4,1637.19,4,0,0,0,0,N,Y,N,N,N,3536.84,2.37,N,N
CL00003,CV00003-01,2024-02-29,5,1373.18,3,882.37,11,1,0,0,2,N,Y,Y,N,N,4093.96,7.25,N,Y
CL00003,CV00003-01,2024-03-31,10,5226.69,7,3605.57,7,0,0,0,1,N,Y,N,N,N,5808.73,20.59,Y,N
CL00003,CV00003-01,2024-04-30,9,3861.27,6,2902.09,7,1,1,0,3,N,Y,Y,Y,N,5625.39,14.78,Y,N
CL00003,CV00003-01,2024-05-31,8,3491.60,4,2186.23,3,1,0,0,1,N,Y,Y,N,N,4624.87,7.25,N,N
CL00003,CV00003-01,2024-06-30,2,692.58,1,462.53,2,1,0,0,3,N,N,Y,N,N,4508.51,8.67,Y,Y
CL00003,CV00003-01,2024-07-31,9,4573.83,5,2432.91,6,0,0,0,1,N,Y,N,N,N,4379.58,19.05,Y,N
CL00003,CV00003-01,2024-08-31,11,3952.00,5,1708.87,11,0,0,0,1,N,Y,N,N,N,5343.28,7.93,Y,N
CL00003,CV00003-01,2024-09-30,11,4398.27,5,1938.05,7,1,1,1,5,N,Y,Y,Y,Y,3699.88,18.78,Y,Y
CL00003,CV00003-01,2024-10-31,9,3696.98,6,2499.54,5,1,0,0,1,N,Y,Y,N,N,6557.57,19.06,N,N
CL00003,CV00003-01,2024-11-30,8,3350.22,4,1479.19,11,0,0,1,2,N,Y,N,Y,Y,5142.96,18.99,Y,N
CL00003,CV00003-01,2024-12-31,11,5871.85,7,3608.16,6,1,0,0,2,N,Y,Y,N,N,3657.07,19.50,Y,N
CL00004,CV00004-01,2024-01-31,4,1846.22,0,33.11,2,0,0,1,1,N,N,N,Y,N,3854.40,3.28,N,N
CL00004,CV00004-01,2024-02-29,3,1269.46,0,176.18,2,0,0,1,1,N,N,N,Y,N,3017.57,0.56,N,N
CL00004,CV00004-01,2024-03-31,5,2153.52,1,376.68,2,0,0,1,2,N,N,N,Y,N,3608.22,6.49,N,Y
CL00004,CV00004-01,2024-04-30,7,2502.36,0,47.67,3,0,1,1,2,N,N,N,Y,N,3074.22,11.87,N,N
CL00004,CV00004-01,2024-05-31,5,2452.47,0,0.00,3,1,0,0,2,N,N,Y,N,N,3788.87,2.18,Y,N
CL00004,CV00004-01,2024-06-30,4,1241.74,0,146.73,7,1,0,1,2,N,N,Y,Y,N,3825.10,3.74,N,N
CL00004,CV00004-01,2024-07-31,4,1281.33,1,190.49,0,0,0,0,1,N,N,N,N,N,3788.00,-3.04,N,Y
CL00004,CV00004-01,2024-08-31,6,3300.48,0,280.34,3,0,0,0,0,N,N,N,N,N,3344.19,7.11,N,N
CL00004,CV00004-01,2024-09-30,1,284.66,0,35.27,1,1,1,0,3,N,N,Y,Y,N,4271.17,4.72,Y,N
CL00004,CV00004-01,2024-10-31,6,1962.25,0,58.62,2,0,0,0,1,N,N,N,N,N,4260.09,3.67,Y,N
CL00004,CV00004-01,2024-11-30,9,2891.57,1,213.90,6,0,0,0,0,N,N,N,N,N,2409.88,5.32,N,N
CL00004,CV00004-01,2024-12-31,3,1417.00,0,166.70,3,0,0,0,0,N,N,N,N,N,3520.39,-3.07,N,N
CL00005,CV00005-01,2024-01-31,7,2703.77,3,1106.39,5,0,0,0,1,N,Y,N,N,N,5235.81,17.80,N,Y
CL00005,CV00005-01,2024-02-29,6,3521.06,2,1401.04,5,0,0,0,0,N,Y,N,N,N,7327.63,11.21,N,N
